11287	GO:0002020,GO:0004866,GO:0004867,GO:0005576,GO:0005615,GO:0007566,GO:0030414,GO:0031012,GO:0044877,GO:0048403,GO:0048406
11298	GO:0004059,GO:0004060,GO:0005737,GO:0005829,GO:0006474,GO:0007623,GO:0008080,GO:0009416,GO:0009648,GO:0010043,GO:0016740,GO:0016746,GO:0016747,GO:0030187,GO:0032868,GO:0034097,GO:0034695,GO:0046688,GO:0048471,GO:0048511,GO:0051412,GO:0051591,GO:0051592,GO:0071320,GO:0071889,GO:1901652
11302	GO:0000166,GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0005737,GO:0005783,GO:0006915,GO:0007420,GO:0012505,GO:0016020,GO:0016301,GO:0016740,GO:0030424,GO:0030425,GO:0030426,GO:0042995,GO:0048471,GO:0051402,GO:0106310
11303	GO:0000166,GO:0002790,GO:0005102,GO:0005515,GO:0005524,GO:0005548,GO:0005768,GO:0005794,GO:0005886,GO:0006911,GO:0007040,GO:0007186,GO:0007189,GO:0007584,GO:0008035,GO:0008203,GO:0008320,GO:0009306,GO:0009410,GO:0009897,GO:0009986,GO:0010875,GO:0015914,GO:0016020,GO:0016197,GO:0016323,GO:0016887,GO:0019905,GO:0023061,GO:0030139,GO:0030301,GO:0031210,GO:0031267,GO:0031667,GO:0032367,GO:0032489,GO:0033344,GO:0033552,GO:0033700,GO:0034185,GO:0034186,GO:0034188,GO:0034204,GO:0034380,GO:0034616,GO:0038027,GO:0042157,GO:0042158,GO:0042626,GO:0042632,GO:0043231,GO:0043691,GO:0045121,GO:0045332,GO:0045335,GO:0046623,GO:0048471,GO:0051117,GO:0051649,GO:0055085,GO:0055091,GO:0060155,GO:0071222,GO:0071300,GO:0071345,GO:0071397,GO:0071403,GO:0071466,GO:0071806,GO:0090108,GO:0090554,GO:0090556,GO:0097708,GO:0099039,GO:0120020,GO:0140115,GO:0140326,GO:0140328,GO:0140359
11304	GO:0000166,GO:0001523,GO:0001750,GO:0003924,GO:0005501,GO:0005502,GO:0005503,GO:0005524,GO:0005548,GO:0005783,GO:0005886,GO:0006649,GO:0006869,GO:0007601,GO:0016020,GO:0016787,GO:0016887,GO:0031410,GO:0034204,GO:0042574,GO:0042626,GO:0042995,GO:0043231,GO:0045332,GO:0045494,GO:0046872,GO:0055085,GO:0090555,GO:0120202,GO:0140326,GO:0140327,GO:0140347,GO:0140359
11305	GO:0000166,GO:0001573,GO:0005319,GO:0005524,GO:0005764,GO:0005765,GO:0005768,GO:0005815,GO:0005886,GO:0006684,GO:0006687,GO:0006869,GO:0007626,GO:0010008,GO:0010559,GO:0016020,GO:0016887,GO:0019218,GO:0031410,GO:0032289,GO:0032383,GO:0032384,GO:0032805,GO:0042626,GO:0042632,GO:0042986,GO:0043231,GO:0045939,GO:0046512,GO:0048545,GO:0051247,GO:0055085,GO:0061135,GO:0071072,GO:0090155,GO:0090156,GO:0090370,GO:0099038,GO:0099040,GO:0140359,GO:1901873,GO:1902004,GO:1902993,GO:1904375,GO:1905601,GO:2000008
11306	GO:0000166,GO:0005515,GO:0005524,GO:0005739,GO:0005743,GO:0006879,GO:0016020,GO:0016226,GO:0016887,GO:0034755,GO:0042626,GO:0042802,GO:0042803,GO:0055085,GO:0070455,GO:0140359,GO:0140466,GO:0140481,GO:1903331,GO:1903427
11307	GO:0000139,GO:0000166,GO:0005524,GO:0005654,GO:0005739,GO:0005768,GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0006869,GO:0008203,GO:0009897,GO:0010745,GO:0010875,GO:0010888,GO:0016020,GO:0016887,GO:0019534,GO:0030301,GO:0032367,GO:0033344,GO:0033700,GO:0033993,GO:0034041,GO:0034204,GO:0034374,GO:0034375,GO:0034436,GO:0035774,GO:0042632,GO:0042803,GO:0042908,GO:0042987,GO:0043531,GO:0043691,GO:0045542,GO:0046982,GO:0050714,GO:0055037,GO:0055085,GO:0055091,GO:0071403,GO:0090181,GO:0090554,GO:0120020,GO:0140328,GO:0140359,GO:1902004,GO:1904411
11308	GO:0001756,GO:0001764,GO:0005515,GO:0005634,GO:0005737,GO:0005856,GO:0014069,GO:0017124,GO:0030027,GO:0030175,GO:0030296,GO:0030426,GO:0031209,GO:0031252,GO:0032433,GO:0035591,GO:0035855,GO:0042995,GO:0043005,GO:0045202,GO:0048813,GO:0048858,GO:0072673,GO:0098858,GO:0098978,GO:0099527
11350	GO:0000166,GO:0000287,GO:0000400,GO:0000405,GO:0001726,GO:0001784,GO:0001843,GO:0001922,GO:0002252,GO:0002322,GO:0002333,GO:0002429,GO:0003677,GO:0003779,GO:0004672,GO:0004674,GO:0004713,GO:0004715,GO:0005080,GO:0005515,GO:0005524,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005829,GO:0005856,GO:0005886,GO:0006281,GO:0006468,GO:0006897,GO:0006909,GO:0006914,GO:0006915,GO:0006974,GO:0006979,GO:0007155,GO:0007173,GO:0007204,GO:0007229,GO:0007249,GO:0007611,GO:0008047,GO:0008306,GO:0009410,GO:0009791,GO:0010595,GO:0014069,GO:0015629,GO:0016301,GO:0016604,GO:0016740,GO:0018108,GO:0019899,GO:0019901,GO:0019904,GO:0019905,GO:0021587,GO:0022408,GO:0030035,GO:0030036,GO:0030041,GO:0030145,GO:0030182,GO:0030425,GO:0030426,GO:0030514,GO:0030516,GO:0030845,GO:0031113,GO:0031252,GO:0032489,GO:0032729,GO:0032743,GO:0032956,GO:0032991,GO:0033554,GO:0033690,GO:0034446,GO:0034599,GO:0034976,GO:0035556,GO:0035791,GO:0038189,GO:0038191,GO:0042100,GO:0042127,GO:0042169,GO:0042770,GO:0043005,GO:0043025,GO:0043065,GO:0043123,GO:0043525,GO:0043539,GO:0043542,GO:0045580,GO:0045595,GO:0045907,GO:0045930,GO:0045931,GO:0046632,GO:0046872,GO:0046875,GO:0048008,GO:0048013,GO:0048146,GO:0048471,GO:0048536,GO:0048538,GO:0050798,GO:0050852,GO:0050853,GO:0050885,GO:0051015,GO:0051019,GO:0051049,GO:0051281,GO:0051450,GO:0051496,GO:0051649,GO:0051726,GO:0051894,GO:0060020,GO:0060038,GO:0060563,GO:0065008,GO:0070064,GO:0070097,GO:0070301,GO:0070373,GO:0070374,GO:0071103,GO:0071222,GO:0071560,GO:0071871,GO:0072359,GO:0090050,GO:0098609,GO:0098978,GO:0099150,GO:0120031,GO:0141214,GO:1900006,GO:1900026,GO:1900272,GO:1901701,GO:1902532,GO:1903053,GO:1903055,GO:1903210,GO:1903905,GO:1904157,GO:1904518,GO:1905244,GO:1905555,GO:1990837,GO:2000042,GO:2000096,GO:2000352,GO:2000406,GO:2000772,GO:2000773
