N_unmapped	1213524	1213524	1213524
N_multimapping	951218	951218	951218
N_noFeature	588250	2504916	2500057
N_ambiguous	161954	17062	16948
Gm26206	0	0	0
Xkr4	66	36	30
Gm53491	35	14	21
Rp1	7	5	2
Sox17	2	2	0
Gm22307	0	0	0
Gm37323	0	0	0
Gm39586	1	0	1
Gm46082	0	0	0
Gm29874	1	1	0
Mrpl15	348	168	180
Lypla1	273	136	137
Gm57794	0	0	0
Tcea1	98	52	46
Rgs20	17	7	10
Gm16041	0	0	0
Atp6v1h	776	384	392
Oprk1	0	0	0
Npbwr1	0	0	0
Gm46206	2	0	2
4732440D04Rik	0	0	0
Rb1cc1	311	148	163
Alkal1	2	2	0
St18	2	0	2
Pcmtd1	187	92	95
Gm23274	0	0	0
Gm26901	3	1	2
Gm39589	0	0	0
Sntg1	103	50	53
Gm30719	0	0	0
Gm24765	0	0	0
Rrs1	297	155	142
Adhfe1	249	140	136
2610203C22Rik	1	15	13
Vxn	10	5	5
Mybl1	57	26	31
Vcpip1	92	56	37
1700034P13Rik	0	0	1
Gm39590	0	0	0
Sgk3	38	16	22
Gm6195	0	0	0
Mcmdc2	0	0	0
Snhg6	118	60	58
Snord87	0	0	0
Tcf24	2	2	0
Ppp1r42	0	0	0
Gm24674	0	0	0
Cops5	479	245	234
Cspp1	63	30	33
Arfgef1	162	78	84
Cpa6	61	26	35
Gm25253	0	0	0
Prex2	54	17	37
Gm24173	0	0	0
A830018L16Rik	83	49	34
Gm30898	2	1	1
Gm30974	0	0	0
Gm22633	0	0	0
Gm39591	0	0	0
Mir6341	0	0	0
Gm17644	0	0	0
Sulf1	350	178	172
Slco5a1	27	16	11
Gm39592	0	0	0
Prdm14	0	0	0
Ncoa2	65	29	36
Gm23169	0	0	0
Gm39595	0	0	0
Tram1	1045	505	540
Lactb2	83	43	40
Xkr9	1	1	0
Gm26273	0	0	0
Gm5523	0	0	0
Gm31195	0	0	0
Gm39596	0	0	0
Eya1	7	4	3
Msc	6	4	2
Gm9947	0	0	0
Trpa1	0	0	0
Kcnb2	4	3	1
Gm51616	0	0	0
Gm51617	0	0	0
Gm25168	0	0	0
Terf1	77	42	35
Sbspon	8	3	5
Gm31523	0	0	0
4930444P10Rik	1	1	0
Rpl7	1641	811	830
Rdh10	218	113	105
Stau2	147	70	77
Gm7568	0	0	0
C130013N14Rik	3	0	3
Ube2w	814	374	440
Eloc	1200	637	563
D030040B21Rik	1	0	1
Tmem70	634	313	321
Ly96	78	35	43
Gm53492	0	0	0
Jph1	1	0	1
Gm46085	0	0	0
Gm31982	0	0	0
Gdap1	116	57	59
Gm28784	0	0	0
Gm39597	0	0	0
