gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
M1ap,9.795841107053993,2.0134411589905197,0.6473294687340434,3.1103808126148293,0.0018684628432024048,0.035952842387950344
Gm53290,4.027202874143882,3.6060865342022024,1.0106150461129135,3.5682098223969083,3.5942862574943205e-4,0.010435435286275946
Gm32644,5.250128156041635,4.907422739336683,0.9502390315474278,5.164408718662222,2.412001455311131e-7,2.0911491686976504e-5
Dok1,111.99905215607085,1.554191870174042,0.21414191745148542,7.25776573157915,3.9353635162888914e-13,1.3040920167755544e-10
Loxl3,430.8398411399725,2.3222047439671543,0.22718307967878507,10.221732829973638,1.584821439550255e-24,1.5755238204382267e-21
Mcm2,90.76682970522938,1.4302642013309674,0.19930964638130616,7.176091209327017,7.173270812039713e-13,2.1830166193701263e-10
Cdca3,60.35855067511252,2.207025600838582,0.4178077154826461,5.2823955112677945,1.275055595445905e-7,1.1593676243469107e-5
Ncapd2,38.04617594823136,1.5987184689189948,0.394905800621205,4.048353978098415,5.1579097944128375e-5,0.002166612700120683
Rad51ap1,21.05000214487943,1.5756879593490989,0.4909243110097796,3.2096352207697243,0.0013290351794271282,0.028071632571695943
Clec7a,35.93440507587009,1.9761805609041847,0.4169713752993803,4.739367443353423,2.1438642948413284e-6,1.4591452058188324e-4
Lockd,49.05931516422857,2.3455660600537884,0.46587012289905333,5.034806794343486,4.783310281940476e-7,3.855606644556561e-5
Art4,21.76782546218843,1.8369636748835183,0.3845007256514724,4.77752979990113,1.7746175714772391e-6,1.248259303107009e-4
Tmtc1,24.512249827986935,1.2329660019010091,0.40711052237400774,3.028578074354702,0.0024570757873887163,0.042853700750339806
Lig1,31.943441328254345,1.607426521610231,0.29583471300514297,5.433529099008359,5.5250268768968076e-8,5.634634351812086e-6
Ccdc9,20.66137433865696,1.0637950958707756,0.3244821748622488,3.2784392434573166,0.001043828317859799,0.023512942410763328
Vmn1r181,252.7918123905307,1.0842316093098732,0.3104263235878577,3.4927180039968837,4.7813113872632857e-4,0.012916470182404006
LOC118567478,3.8728488738921,3.943193135229068,1.0948715917086307,3.601511962763975,3.163718618031369e-4,0.009460507430511904
Cyp2b10,6.036411988553434,5.64312086826488,1.0828301777294118,5.211455114871243,1.873651777714388e-7,1.6435232534868796e-5
Dmkn,13.953634646516303,3.071702038646795,0.800862180278881,3.8354939392657403,1.2531219668515821e-4,0.004417625241061653
Ccne1,223.66861823184698,1.23255055621653,0.1695619468848409,7.269028097758425,3.620830909871978e-13,1.2271325120002487e-10
Klk9,4.926951209922194,2.4623723924892906,0.8031577881746431,3.065863805025892,0.0021704215434138635,0.039566413270644904
Klk8,230.31667333513244,2.8260657254401425,0.33080527523277387,8.542988691614902,1.3079420338705734e-17,7.50155061887615e-15
E2f8,5.100825937049812,2.4016029566011294,0.7659182171454837,3.135586676018378,0.001715107377907235,0.03405550095785977
Aldh1a3,47.84202634709169,1.6541572898937913,0.34658888737894616,4.772678381015728,1.8179197204686235e-6,1.2727145010154044e-4
Mctp2,10.619555252813788,2.245061149515489,0.7169436136554421,3.1314333606637708,0.001739552596624735,0.034357891815719264
AU020206,19.387965537706904,1.8562786437010923,0.47706935075488993,3.8910037728556923,9.983038047554647e-5,0.0036757299596329603
Ticrr,3.6817868257483446,3.020503534173391,0.9890700540267683,3.053882302751069,0.0022590068831560687,0.040488354136566464
Anpep,17.434825887621308,1.9317801339612728,0.4830717764609509,3.998950524731035,6.362397706632375e-5,0.0025571604152310368
Prc1,55.1880547300859,2.164554144468324,0.37615355048498855,5.7544429440516645,8.692795754559429e-9,1.0985336465422898e-6
Fes,30.270390770027735,1.0764260554692373,0.31686143809598616,3.3971506975965875,6.809145748849022e-4,0.017239046079259187
Chrdl2,18.69546844513929,2.091500646924638,0.6503794233161945,3.2158161404620804,0.0013007413796045845,0.02763056332288257
Olfml1,65.28514007786909,4.1737311438143,0.383119094242085,10.89408282317823,1.2299957060724118e-27,1.528474664079317e-24
Cyp2r1,15.989326093063388,1.373538100038048,0.3809992988395129,3.6050935112524156,3.1204055079380274e-4,0.009400300390782195
Calcb,666.9048843868359,8.20239266439534,0.6229107086436765,13.167846612005114,1.343758700905063e-39,4.00762594957926e-36
Crym,40.17073821871023,1.2911285009813362,0.32126583361719185,4.01887896526151,5.8475698128712885e-5,0.0023824852745775046
Plk1,39.72032628388958,2.8307285449360657,0.4244168016209196,6.669690111524884,2.5634412003523535e-11,5.540005098500622e-9
Hirip3,14.206007604657117,1.4627127746793043,0.474354274550828,3.0835872114030494,0.002045211552585347,0.03798031715087509
Kif22,59.6113276317088,1.514332570591213,0.29832802183232393,5.076065470786877,3.8533056743581107e-7,3.1399177167228495e-5
Dctpp1,77.21531629770716,1.014608694052487,0.28375467523346315,3.5756545446086605,3.493527233457301e-4,0.01021479962849319
Adam12,199.74142010259703,1.0761656623118725,0.31898208295804364,3.373749560891239,7.415179698938189e-4,0.01842919327842771
Mki67,75.72600740611996,3.077166819342323,0.39211304153247084,7.847652318107107,4.23897424766597e-15,1.9155025448846952e-12
Mrgpre,54.27675854607765,1.2457103611509401,0.31536471908838337,3.9500625331580617,7.813077783942168e-5,0.0029797599978042357
Tpcn2,60.0931178781526,1.2129990471153387,0.2686316632931735,4.5154730914632415,6.3175568633645666e-6,3.609479231666376e-4
Mrgprf,149.9936400203545,1.273640123541774,0.21044549362299694,6.052114025418095,1.4295721779459708e-9,2.2678489699500335e-7
Shcbp1,70.80379338989827,1.7126069674802693,0.40099022368237425,4.270944442867094,1.946468984147372e-5,9.516637866100201e-4
Tnfsf13b,36.88618795749844,2.6929363403934627,0.41937457519307725,6.421315214813995,1.3510194234373715e-10,2.600733265169467e-8
Ckap2,178.97008626380378,1.3163874961885749,0.29560439519085635,4.453206777722815,8.459721173806382e-6,4.620929016256438e-4
Sfrp1,174.19107883507576,1.562743398103016,0.5254229450912999,2.974258000536057,0.00293698018184383,0.049154038688726365
Prag1,51.81379763560696,1.0222474484136619,0.27661880968761654,3.6955095337445707,2.1944624511208762e-4,0.007007242841780408
Slc7a2,45.55179601655875,1.7475487733586599,0.3196158019299031,5.467654486438457,4.560297026140208e-8,4.788677506809965e-6
Neil3,17.33279263160499,2.541157426294266,0.5362751258518327,4.738533084595018,2.1527088605159812e-6,1.4591452058188324e-4
Ankle1,20.425404194418185,1.8875465317067108,0.6037460495437672,3.1263915236100894,0.0017696577754724061,0.034768296110467084
Mcm5,59.88556316364169,2.449209367660149,0.41546056622024446,5.895166874542243,3.74302915009546e-9,5.16815284131699e-7
Asf1b,41.07041833095295,2.179611340199333,0.364156468532556,5.985370379338664,2.1589800035930872e-9,3.285174470773481e-7
Il27ra,14.369864484449325,1.4074723527872663,0.43848543141240304,3.2098497508883357,0.0013280437074612297,0.028071632571695943
Ccl17,128.3147830707573,1.7529654992619996,0.5215922503410472,3.360796672335161,7.771801553075473e-4,0.018875098495026298
Enkd1,24.025448809216602,1.384632821142514,0.38066107026744167,3.6374426735303147,2.753584523584929e-4,0.00846999083137658
Pla2g15,187.53225764983648,1.2298349402325681,0.24403281927481507,5.039629275632808,4.66434475799358e-7,3.780147229956536e-5
