gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sh3tc1,12.582017554481004,-1.245229473882339,0.4119182526606175,-3.0230014471057998,0.002502810464716326,0.0434457908817791
Gm15866,49.45527139198707,-1.2660232831129297,0.39767317276312697,-3.183577293676366,0.0014546727016547698,0.030127887954272122
Limch1,155.49526362471218,-1.2388177248967571,0.21004250332013247,-5.897938299700397,3.680715483411577e-9,5.129610213890976e-7
Art3,119.16293518383104,-1.3700350124875982,0.32306566177107876,-4.2407323792226235,2.2279164533616923e-5,0.001067218313873839
Cxcl10,16.646765670329728,-1.378854369473881,0.4094648233939543,-3.367455006378552,7.586540476348795e-4,0.018576435399558822
Fras1,37.110353970061546,-1.0391845316213768,0.3036936647535946,-3.421818273570281,6.220387410560126e-4,0.015883290593539826
Bmp3,60.06728445859656,-2.1262165813212546,0.44153953593584067,-4.815461376102482,1.468601692131868e-6,1.057960793868136e-4
Mn1,50.838256798944606,-1.9103343966876185,0.3514408740836483,-5.4357205935952955,5.457541882879801e-8,5.612611348793351e-6
Serpine1,103.83038051522749,-1.5967920009696435,0.3441209736902622,-4.640205401740176,3.4806304427751943e-6,2.1900068001123922e-4
Mmd2,3.0114439111633984,-3.1122104417680494,0.8765632309822277,-3.5504688444217316,3.8454564832544815e-4,0.010943405930971532
Magi1,58.400866831771225,-1.0218780203898394,0.21639406436952258,-4.72230152600139,2.331906141264978e-6,1.5593445909660694e-4
Irak2,78.21435498563324,-1.0893855813223168,0.26416865083428404,-4.123826115937203,3.7263024499910325e-5,0.001653768515900782
Kcna1,69.43688038753307,-1.304850154966552,0.25283766949812986,-5.1608217935112854,2.458681428852722e-7,2.1192981194827624e-5
Erp27,10.51383412818343,-1.779829211164485,0.5750965695516129,-3.0948353813902405,0.0019692215950497423,0.03703030570666048
Pnma8c,11.290228267078344,-2.2685200975858173,0.5493796790433332,-4.1292391839758675,3.6396561891673653e-5,0.0016201359132198133
Kctd15,46.31482460650531,-1.01190390447378,0.26874056340569524,-3.765356043204364,1.663119226306534e-4,0.005662199521160511
Shank1,4.989808629678696,-2.3226971938171372,0.7251401087349298,-3.203101257037464,0.0013595616915608908,0.02863528805728249
Cemip,14.502146624291434,-1.6105435791405562,0.40510224345128776,-3.975647148777686,7.018812846038107e-5,0.0027256389885447984
Nox4,72.95795557036406,-1.1436127479090332,0.3783898321673391,-3.022313631840091,0.002508504959040491,0.0434457908817791
Sytl2,22.612326211044152,-1.5778879325576685,0.5000158443417718,-3.155675865901456,0.001601266996858676,0.03248720198252596
Adm,332.1364337971276,-1.3595308770886443,0.25763114333228376,-5.2770439920579335,1.3128437818595038e-7,1.1864925136417528e-5
Cdkn1c,1523.1973084661633,-1.5692067120413409,0.29536743197581145,-5.31272761368575,1.079964048811078e-7,9.941002404858515e-6
Tmem255b,91.12889930981544,-1.1549542798145618,0.2401747648248873,-4.808807789014158,1.5183311054618966e-6,1.0831531756216245e-4
Gm39178,26.285410471741,-1.0774322201726247,0.3617167196323616,-2.9786630301958272,0.002895089698492425,0.04861664142333225
Scrg1,11.911431259224022,-2.600543184061093,0.6727451739578177,-3.8655694380709917,1.1083031017525551e-4,0.003998975221895569
Cdh8,15.260132612155273,-2.8293122552189,0.4983324877135319,-5.677559310251793,1.366301604722165e-8,1.6042747661115688e-6
Pdgfd,104.95943183458839,-1.301635979138191,0.2987952424850925,-4.356280803912507,1.3229104282089615e-5,6.709945682126542e-4
Cnn1,150.83756780327252,-1.0946389334464952,0.2974975639368263,-3.6794887291209624,2.3370201729170756e-4,0.007383399325961744
Adamts8,8.158215587663575,-1.9590296645814123,0.5599658485010736,-3.4984806123898045,4.679171072875344e-4,0.012769931839826908
Htr3b,46.8880061188548,-1.51810533983632,0.29777460261756117,-5.0981693082336434,3.429540160164309e-7,2.809961696064295e-5
Peak1os,60.196144962752804,-1.6740153577868317,0.3251721785228574,-5.1480891304763325,2.6315345176078535e-7,2.2423681558039036e-5
Sema7a,6.628291797796395,-2.7630393022687945,0.8901002893147562,-3.104188747535315,0.0019080156653386864,0.036337585697995514
Smad6,9.070763969488402,-1.5053251290045966,0.5026553935245789,-2.9947458007948127,0.0027467364563114713,0.046703915663074864
Tpm1,4000.0776358597445,-1.07430717872331,0.19550579875367063,-5.4950143963601485,3.906785425810497e-8,4.191221889905477e-6
Plscr2,205.7206300482007,-1.6547628026726158,0.234866435951448,-7.045548232420453,1.847327057202172e-12,5.197611523962035e-10
Dipk2a,153.48328632365727,-1.2886821689893113,0.2397553722521631,-5.374987667154077,7.65879241374207e-8,7.416098212579334e-6
Gm31434,3.940554077143614,-4.379987992923445,1.1589805332845207,-3.7791730466004227,1.5735004979190967e-4,0.005394032051717143
Slco2a1,16.838478617584553,-1.569803630294013,0.4379997026617769,-3.5840289862164916,3.3833451376105944e-4,0.009931583207096296
Enpp1,65.81706012958962,-1.1789892110196087,0.3749990539128701,-3.1439791613275467,0.0016666730782203903,0.03331558839466817
Vsir,38.05410527147247,-1.069361362370787,0.33541122658704164,-3.1882098081570325,0.0014315662226612688,0.029773382862377743
Slc1a6,39.23411686264763,-1.714409615573342,0.3868896527688977,-4.431262514527409,9.368295293370323e-6,5.025180554486988e-4
Cnn2,2299.8225291317917,-1.0238415384515687,0.20815200433597955,-4.918720536550679,8.711173411351596e-7,6.560657470205807e-5
Gadd45b,56.804405241925885,-1.570030447290107,0.29888130000391094,-5.253023348297678,1.4962256037789955e-7,1.3360309103923581e-5
Syn3,26.36637693312669,-1.0573335054798263,0.34495209537294486,-3.0651604082494135,0.0021755328124638314,0.03961116642180788
Pawr,56.65738401210679,-1.281929223005926,0.19940906605153058,-6.428640624968648,1.287501117305082e-10,2.5262127185859717e-8
Gm12153,16.89308948255552,-1.3862968391250508,0.38850837689817147,-3.5682546929699814,3.593670907938558e-4,0.010435435286275946
Tgtp1,28.47703148884597,-1.321559398143963,0.4091893731276341,-3.2297011724489315,0.0012391966593010677,0.026897963003635398
Wnt9a,37.70622475532379,-1.1471711273607739,0.2878055958916377,-3.9859236364281734,6.721812945877145e-5,0.002637780911813684
Rgs9,32.76440728250235,-1.4534950323204996,0.31628050542737,-4.595588432984457,4.315297237937242e-6,2.6481363132559735e-4
Gm20208,4.969844234801354,-2.896120934635956,0.9360397867448995,-3.0940147797641004,0.0019746764899911643,0.03703138150917673
Fam110c,142.1687411371824,-1.4045117931884399,0.3453136930902469,-4.067350415847466,4.755071230727078e-5,0.0020264598801483127
Npas3,24.287539523615244,-1.2495030709980206,0.39781316052999044,-3.1409294487225057,0.0016841259672332038,0.03357444709008227
Fbln5,1462.4461332781764,-1.0535523454999836,0.32216380067917205,-3.2702381312826865,0.001074569832995419,0.02407481740289208
Akr1c14,45.668592119548606,-2.3440070328001705,0.731131947145734,-3.2059972785363016,0.0013459526137144595,0.02838874876338051
A530046M15Rik,5.339302488216156,-2.1898150007439052,0.5702948723819641,-3.839794300793295,1.2313743866482977e-4,0.004356530883866702
Scgn,270.14477320004346,-1.0700090025822024,0.19188996747542403,-5.576159174237402,2.458869542287577e-8,2.7568919259091993e-6
Bmp6,64.76554633012574,-1.0144239138760602,0.24273249009695885,-4.179184720886979,2.9255599074507195e-5,0.0013548431472020226
Nedd9,131.85542842693073,-1.0726622367774195,0.24381668389789263,-4.399462004112225,1.0851957498248672e-5,5.718176332646085e-4
