gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pi15,86.33423017694417,-1.1854530271859534,0.26210429403317587,-4.522829477322125,6.101839813437498e-6,0.0010979103498798919
Cavin2,1192.4374441703192,-1.0063894029132239,0.2554622121252835,-3.9394844135291187,8.165690666266109e-5,0.007989107605608106
Tm4sf4,51.48778676346919,-2.782985494646661,0.3455994819456512,-8.052632136422913,8.103217820436545e-16,1.2684777176111368e-12
Arhgef26,222.83757375240276,-1.0113082318011897,0.21181780598797556,-4.774425016273653,1.8022141525763214e-6,4.4780730705444024e-4
Slc16a4,24.061093241749365,-1.2058923428158377,0.37256447285215366,-3.23673466120957,0.0012090577436940657,0.048580766966526696
Rab42,15.395168410407079,-1.7829111555414556,0.459708058540024,-3.8783552352851096,1.051650771654731e-4,0.00938449981189282
Sema3e,240.32929185930814,-1.1308375439133163,0.2741450082216122,-4.124961279612921,3.707971330521705e-5,0.004606712953014823
Cxcl10,18.219838572063026,-1.8215070731409473,0.39645021338777825,-4.594541790192666,4.337012083070337e-6,8.706627745692334e-4
1110006O24Rik,7.258964380995103,-1.7900954510224394,0.5198533301997121,-3.4434625057316417,5.743162223206734e-4,0.03012816642942394
Adm,377.92658257035953,-1.0729199044563968,0.26331496424058776,-4.07466361644408,4.6080906066304436e-5,0.005304047820308307
Cdh8,16.931960469908606,-1.8303255550282251,0.5145326038377936,-3.557258648676878,3.747451364715011e-4,0.023244104278799336
Peak1os,79.66463472036249,-1.1834477860879042,0.29164781870235956,-4.057797487920419,4.953769453588198e-5,0.005660314381494135
Plscr2,256.3171946606627,-1.045330474580218,0.17961849661696663,-5.8197262212330365,5.894409639532415e-9,2.7960935908254675e-6
Pawr,64.81939071069162,-1.0811008288419104,0.3221734325880332,-3.355648602547331,7.917910502637168e-4,0.03722131261509977
Gm12153,13.776969643419967,-1.8313816689650628,0.5075276723639528,-3.608437073854294,3.080472088184772e-4,0.020233214329518332
Coro6,8.650658004732447,-2.175624887234845,0.6685483069811626,-3.2542523322793286,0.0011369124579583597,0.04650512773135877
Fam110c,177.83928146142355,-1.1245427689942988,0.32535162878424834,-3.456392006385255,5.474585265931376e-4,0.029149373385336654
Akr1c14,66.78873594087369,-1.528356054967772,0.3973221287442654,-3.8466421686557792,1.1974765882661432e-4,0.010472233805987824
Itgbl1,3.6722945472418793,-3.6065208779547673,0.9868764400196657,-3.6544806742806624,2.577030726777699e-4,0.017771294712325157
Epha3,18.983748095879463,-1.672614875400154,0.40865382200101596,-4.09298723112394,4.2585117975260535e-5,0.005088759059425407
Cysltr1,2.6241617143041336,-3.7226245783826215,1.108474664891404,-3.3583307731686616,7.84147184062638e-4,0.0369730121063751
Lpar4,7.628200803943949,-2.0696388339448695,0.5581068822756975,-3.7083198571317655,2.0863900872574202e-4,0.015333497852548197
