gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lmo4,197.59477163373703,1.3126460730733156,0.19406829357163577,6.763835807052032,1.343853765919284e-11,2.237815154425812e-9
Mcoln2,39.87322190499326,2.7275942282141115,0.4688219867529608,5.817974210436038,5.956508890359656e-9,5.808489748112857e-7
Atp6v0d2,42.5368418777292,2.0106370554864075,0.41557859131211317,4.838163219953631,1.3104450982997068e-6,6.546546896072568e-5
Jun,251.32334620035795,1.290951662569137,0.15000093153519864,8.606290970041124,7.546256727024758e-18,3.648249986061937e-15
Gm52669,30.020661386222628,2.206376363857665,0.4559083993103932,4.839516813454257,1.3015518046413283e-6,6.52386518266207e-5
Kif2c,25.85675537844065,4.271019414470564,0.5705282539011891,7.486078709101531,7.096184906970588e-14,1.7725087200128033e-11
Cdc20,183.28051038775268,3.008433432836453,0.42008595349865263,7.161471141277048,7.981581857263346e-13,1.733622714417475e-10
Cdca8,133.30013400528003,1.4668439906859425,0.2894405818303316,5.067858768836355,4.0231572447171865e-7,2.3645120637873126e-5
Rnf19b,163.97588506212958,1.524333840496707,0.22566053256249896,6.754986453267043,1.4284860252970681e-11,2.3526066001238636e-9
Rpa2,133.80344606098436,1.133716087247718,0.16496938830229219,6.8722815724471324,6.318308268706201e-12,1.1547864149158517e-9
Cenpa,150.15697830133055,2.152711861314427,0.42395713598713286,5.077663939544497,3.821037692556031e-7,2.2634739880765708e-5
Hs3st1,69.15838736860675,3.5566888514469888,0.30543598817120426,11.644629281384415,2.443820038778022e-31,3.0521275767638516e-28
Sod3,1025.6033885358,2.060795144896931,0.31820785436430277,6.476254802113129,9.402721476848423e-11,1.304801729384512e-8
Nmu,129.50138469850438,4.599525275478258,0.7325861515451154,6.2784769624395524,3.419056766149683e-10,4.306000315486159e-8
Cxcl5,1285.0342877552848,1.709360880468679,0.30617314734320505,5.582987584971224,2.3642162805133648e-8,1.9794697986622233e-6
Rfc5,99.23779444441016,1.2572551076144314,0.19469160126338195,6.457675110050569,1.063236924350113e-10,1.461901998645426e-8
Daglb,146.5405086412584,1.0349644956248503,0.1762509210503489,5.872108295701876,4.302874944730425e-9,4.447392192874129e-7
Tfpi2,225.65144854660173,2.1786034016470084,0.20657836890613976,10.546135169829283,5.29297598262791e-26,5.2883887367762995e-23
Wnt2,17.750855151205833,4.765935072287245,0.7850514133902248,6.07085725978847,1.2722923822873449e-9,1.4555607582702623e-7
Mest,274.5513298721182,1.3014219606387547,0.2351688031277967,5.533990662577506,3.130256449861717e-8,2.508724781501473e-6
Gm32644,5.447477001377927,4.918370947458576,1.0194704835744677,4.8244368294153865,1.403994057124838e-6,6.898904568567196e-5
Dok1,132.26420601740048,1.5765685038883384,0.19504491672586358,8.083104806592893,6.31383168218712e-16,2.490141984761536e-13
Loxl3,518.5169029485937,2.410429745212585,0.19046480910682012,12.655512356934775,1.0429294291991513e-36,2.232911907915383e-33
Mcm2,106.2713841594662,1.445150904996754,0.1818677785550755,7.946162406987971,1.9237817874334347e-15,6.53672649959078e-13
Lig1,35.801746774111805,1.5256498248133286,0.29378174697091963,5.1931402837098215,2.0677625614046543e-7,1.2752904324185825e-5
Vmn1r181,256.4035097070108,1.4139110080657311,0.25683067016759886,5.505226486942005,3.686939618264381e-8,2.9082191609962255e-6
Cyp2b10,7.248403490631595,5.945407641794136,1.1612884328085165,5.11966491168389,3.060790161429833e-7,1.8408149247740672e-5
Ccne1,254.29887868593548,1.3308271392861384,0.15525140040236898,8.572078163784674,1.0163406579447829e-17,4.615726497157109e-15
Klk8,205.0271215929278,2.618068313843965,0.21777020656739854,12.022160217006954,2.7177215344742844e-33,3.702772057924191e-30
Prc1,61.886264042949044,2.6280737648711776,0.3603049704266721,7.29402584082873,3.008277004300132e-13,6.936161148222473e-11
Olfml1,75.14170976362746,4.030218613474721,0.3766423108108053,10.700387337786854,1.0135365361326554e-26,1.0849908619300075e-23
Calcb,840.960678052909,8.278957925037089,0.5911724168179395,14.004303464629878,1.467110492708815e-44,3.664597492371169e-41
Plk1,45.561173128846875,2.6981474267356673,0.4309674709154775,6.2606753614238215,3.8331375586675063e-10,4.747705172871894e-8
Kif22,68.91704033763615,1.692780818721291,0.2932881012663918,5.771733702840363,7.846004339070038e-9,7.537696604464273e-7
Gm39090,55.120937847711126,1.6937357019566202,0.2144188150091428,7.899193463429967,2.8071388997773214e-15,8.764706393950566e-13
Mki67,91.12194325880851,3.063542192305856,0.4758655333609971,6.437831651030329,1.2119230821232717e-10,1.6073532063523426e-8
Tpcn2,71.85188344088552,1.1990210854828554,0.24611378393159378,4.871816061371507,1.1057709318399308e-6,5.6176911713508616e-5
Mrgprf,174.55468467989124,1.195460695824365,0.19324887414075692,6.186119847475156,6.166313440911525e-10,7.393163163115282e-8
Tnfsf13b,44.10284526897308,2.7391560170602482,0.42610749964599376,6.428321537020386,1.2902060762364784e-10,1.6961682863645703e-8
Ckap2,213.55987544016813,1.4493855355548255,0.2704004400356909,5.360144884984348,8.315523414183345e-8,5.880163532722099e-6
Slc7a2,50.76690980547244,1.5766755337847425,0.3114309670253735,5.062680660322018,4.1340200049539716e-7,2.420178039618952e-5
Neil3,21.71270227297967,2.6083044614475575,0.4972471699946247,5.245488800822645,1.5586852829513837e-7,1.0025758083945232e-5
Ankle1,22.458848809148925,2.9837919459314466,0.5724216310833113,5.212577205170605,1.8623501955619965e-7,1.1727328731465395e-5
Asf1b,49.114879468386576,2.0808613968939227,0.3470682858264086,5.99553886618928,2.028117799224443e-9,2.186719529278901e-7
Pla2g15,223.0007090171195,1.0730384362043477,0.15525495626066793,6.911460104389529,4.796904489919055e-12,8.87545772721196e-10
Spc24,58.17255719150239,2.4873596461140295,0.4066855236448384,6.116174541502145,9.584834262479033e-10,1.1135496983858394e-7
Igsf9b,116.13733071940226,1.076325021140625,0.17913993849266083,6.008291786840827,1.874881935313352e-9,2.036148953952261e-7
Opcml,16.846299649728266,3.8385283902832144,0.6149395617315889,6.242123013641248,4.3167123872962316e-10,5.259721020195823e-8
St3gal4,182.768835239181,1.8803876264540984,0.23087533656945822,8.144601560281382,3.805328522130541e-16,1.584179404476956e-13
Gldn,39.07942600337836,3.3116293661868235,0.43532322715834154,7.6072884688559785,2.799061065127363e-14,7.490987175547106e-12
Pclaf,101.9726957873877,2.3507779786949055,0.3391424666850757,6.9315352974589715,4.162975488205774e-12,7.798814205217493e-10
Ccnb2,132.0126924076043,2.564230949679875,0.49389398790063754,5.191865081369954,2.081978572442054e-7,1.2787956092290599e-5
Ttk,20.239093801938736,3.1991090729851277,0.5648201812582347,5.663942577013729,1.4793393031806486e-8,1.3118850968502e-6
Pcolce2,140.9173285612337,4.375834574114801,0.28901351885339766,15.140587857187562,8.742868749580663e-52,6.551468697498269e-48
Cish,76.11661977455374,3.3069313557920688,0.2689084339051357,12.297611152496144,9.329256822280833e-35,1.5535285777280317e-31
Sema3b,153.100551646108,1.196810727748306,0.2405029089570185,4.976283791902883,6.481659900051367e-7,3.544374455472361e-5
Pfkfb4,61.09501909988304,1.5238796607565837,0.21440221054930933,7.107574389519244,1.1810008578597908e-12,2.4929098389781246e-10
Fbxo5,25.259965920307156,2.412885512973727,0.3758824261678016,6.419255982711375,1.3694197101427978e-10,1.7846515822530533e-8
Raet1d,115.14699379226191,1.1079393654416176,0.18931311368292952,5.852417425753434,4.8447880192976315e-9,4.906002570622541e-7
Enpp3,76.51500146947197,5.918934944076049,0.6839892723908332,8.65354938007559,4.992202871262839e-18,2.579936014883316e-15
Arg1,50.22809965613492,7.054441474932208,0.8707651918806718,8.10142796325618,5.431780512840139e-16,2.2001647174577074e-13
Mettl24,33.4775539985533,2.0295308951123765,0.3628178648979892,5.593800888726923,2.2215170975570345e-8,1.8810099853721623e-6
Dcbld1,25.944033804829292,1.8772722392811856,0.35910424969396104,5.227652529539962,1.7167575685175153e-7,1.0948530076328511e-5
Gja1,496.6452958518928,1.3925462059533502,0.19315217518112426,7.20958076007956,5.612440331221367e-13,1.2744491400608276e-10
Cdk1,202.31376317706312,1.9695584264557755,0.2881345729335526,6.835550508234151,8.169070987054266e-12,1.4403513750939091e-9
Lss,101.76729819650993,1.0446481006953894,0.213605424925003,4.890550420534338,1.0055439638174703e-6,5.143374534379668e-5
Col6a2,1152.1692114561627,3.0048816524202144,0.3357392972310371,8.95004450537234,3.5533906245498678e-19,2.0482563573126488e-16
Col6a1,2217.564817144846,2.3236287873087487,0.28871062047461554,8.048296884572178,8.395409607752045e-16,3.1455500947844975e-13
Gas2l3,99.49376710924382,1.770688246928927,0.31493647084041937,5.622366448076913,1.8835917515968526e-8,1.6317566231897126e-6
Prim1,46.14367251165044,2.2127495466674882,0.3415231271415988,6.47906209218464,9.229451961920801e-11,1.2927270705916546e-8
Ramp3,28.38636292162886,4.150455656920206,0.5320122927859647,7.801428112094371,6.12104728017988e-15,1.7308704827935067e-12
Eldr,25.10136837385728,2.161696932109193,0.3971042978787125,5.443650304609496,5.2199648316975986e-8,3.872852125378807e-6
Stc2,42.06554456771481,1.7616366087069588,0.26939695255324364,6.539185362012544,6.185482397546354e-11,9.000177154565748e-9
Spdl1,34.797544323771334,1.9936397421562528,0.332879661101133,5.989070451350166,2.1104373681415205e-9,2.2592232025954977e-7
